Date,Refinery Capacity in %
1/1/2010,79.9
12/25/2009,80.3
12/18/2009,80
12/11/2009,80
12/4/2009,81.1
11/27/2009,79.7
11/20/2009,80.3
11/13/2009,79.4
11/6/2009,79.9
10/30/2009,80.6
10/23/2009,81.8
10/16/2009,81.1
10/9/2009,80.9
10/2/2009,85
9/25/2009,84.6
9/18/2009,85.6
9/11/2009,86.9
9/4/2009,87.2
8/28/2009,87.2
8/21/2009,84.1
8/14/2009,84
8/7/2009,83.5
7/31/2009,84.5
7/24/2009,84.6
7/17/2009,85.8
7/10/2009,87.9
7/3/2009,86.8
6/26/2009,87
6/19/2009,87.1
6/12/2009,85.9
6/5/2009,85.9
5/29/2009,86.3
5/22/2009,85.1
5/15/2009,81.8
5/8/2009,83.7
5/1/2009,85.3
4/24/2009,82.7
4/17/2009,83.4
4/10/2009,80.4
4/3/2009,81.8
3/27/2009,81.7
3/20/2009,82
3/13/2009,82.1
3/6/2009,82.7
2/27/2009,83.1
2/20/2009,81.4
2/13/2009,82.3
2/6/2009,81.6
1/30/2009,83.5
1/23/2009,82.5
1/16/2009,83.3
1/9/2009,85.2
1/2/2009,84.6
12/26/2008,82.5
12/19/2008,84.7
12/12/2008,84.1
12/5/2008,87.4
11/28/2008,84.3
11/21/2008,86.2
11/14/2008,84.9
11/7/2008,84.6
10/31/2008,85.3
10/24/2008,85.3
10/17/2008,84.8
10/10/2008,82.2
10/3/2008,80.9
9/26/2008,72.3
9/19/2008,66.7
9/12/2008,77.4
9/5/2008,78.3
8/29/2008,88.7
8/22/2008,87.3
8/15/2008,85.7
8/8/2008,85.9
8/1/2008,87
7/25/2008,87.2
7/18/2008,87.1
7/11/2008,89.5
7/4/2008,89.2
6/27/2008,89.2
6/20/2008,88.6
6/13/2008,89.3
6/6/2008,88.6
5/30/2008,89.7
5/23/2008,87.9
5/16/2008,87.9
5/9/2008,86.6
5/2/2008,85
4/25/2008,85.4
4/18/2008,85.6
4/11/2008,81.4
4/4/2008,83
3/28/2008,82.4
3/21/2008,82.2
3/14/2008,83.8
3/7/2008,85
