Date,Stock,Stock_change,Price,Price_change
4/29/2011,1018973,0.003217399,112.81,0.01194307
5/6/2011,1025247,0.002665831,106.16,-0.026386689
5/13/2011,1025181,-2.79585E-05,100.65,-0.023147131
5/20/2011,1031942,0.00285474,98.46,-0.009553948
5/27/2011,1039179,0.003035073,99.89,0.006262182
6/3/2011,1040870,0.00070613,100.9,0.004369153
6/10/2011,1040248,-0.000259602,100.01,-0.003847739
6/17/2011,1043343,0.001290217,95.89,-0.018270109
6/24/2011,1043020,-0.00013447,92.85,-0.013991411
7/1/2011,1043513,0.000205228,93.73,0.004096709
7/8/2011,1047827,0.001791721,97.1,0.015340613
7/15/2011,1051625,0.001571317,96.71,-0.001747847
7/22/2011,1063055,0.004694833,98.11,0.006241892
7/29/2011,1065611,0.00104296,97.87,-0.001063687
8/5/2011,1057473,-0.003329407,90.82,-0.032468091
8/12/2011,1062019,0.001862999,82.92,-0.039522204
8/19/2011,1065994,0.001622474,85.35,0.012544232
8/26/2011,1070340,0.001766996,85.08,-0.001376044
9/2/2011,1066011,-0.00176007,88.07,0.015000515
9/9/2011,1061390,-0.001886695,87.91,-0.000789716
9/16/2011,1056138,-0.002154323,88.93,0.005010012
9/23/2011,1057250,0.000457025,83.77,-0.025959777
9/30/2011,1052618,-0.001906902,81.45,-0.012197427
10/7/2011,1051107,-0.000623864,79.71,-0.00937828
10/14/2011,1040185,-0.004536342,85.56,0.030757967
10/21/2011,1040885,0.000292163,86.71,0.00579841
10/28/2011,1042691,0.000752875,92.38,0.027508772
11/4/2011,1027130,-0.006530211,93.24,0.004024307
11/11/2011,1018429,-0.003694657,96.97,0.017035131
11/18/2011,1014530,-0.001665864,99.27,0.010180626
11/25/2011,1022191,0.003267159,96.97,-0.010180626
12/2/2011,1031522,0.003946442,99.9,0.012928093
12/9/2011,1033526,0.000842912,100.1,0.000868589
12/16/2011,1015357,-0.007702639,96.05,-0.017936708
12/23/2011,1018458,0.001324357,97.8,0.007841486
12/30/2011,1021859,0.00144785,99.8,0.008791686
1/6/2012,1028164,0.002671419,102.39,0.011127002
1/13/2012,1026101,-0.000872283,100.44,-0.008350839
1/20/2012,1021826,-0.001813162,100.04,-0.001733021
1/27/2012,1029880,0.003409675,99.44,-0.002612567
2/3/2012,1034037,0.001749455,97.81,-0.007177857
2/10/2012,1030067,-0.001670605,98.51,0.00309706
2/17/2012,1033319,0.001368941,101.8,0.014267459
2/24/2012,1033857,0.000226058,107.43,0.023377798
3/2/2012,1032456,-0.00058892,107.54,0.000444456
3/9/2012,1028013,-0.001872946,106.31,-0.004995914
3/16/2012,1029557,0.000651789,106.13,-0.000735954
3/23/2012,1035877,0.002657795,106.64,0.002081972
3/30/2012,1048243,0.005153781,105.11,-0.0062761
4/6/2012,1044090,-0.001724035,103.51,-0.006661728
4/13/2012,1041865,-0.000926487,102.53,-0.004131351
4/20/2012,1041846,-7.9201E-06,103.02,0.002070588
4/27/2012,1043752,0.000793792,104.05,0.004320539
5/4/2012,1046923,0.00131742,103.46,-0.00246961
5/11/2012,1049795,0.001189759,96.99,-0.028045515
5/18/2012,1050852,0.000437055,93.12,-0.017683992
5/25/2012,1056348,0.002265459,91.13,-0.009381597
6/1/2012,1061481,0.002105211,87.09,-0.01969308
6/8/2012,1062637,0.000472709,84.44,-0.013420066
6/15/2012,1073718,0.0045053,83.32,-0.005798963
6/22/2012,1076315,0.001049159,81.41,-0.010071507
6/29/2012,1072240,-0.001647388,80.29,-0.006016297
7/6/2012,1075035,0.001130599,85.77,0.028673952
7/13/2012,1076465,0.00057731,85.78,5.06318E-05
7/20/2012,1086595,0.004067788,90.32,0.022397887
7/27/2012,1079372,-0.002896554,89.03,-0.006247556
8/3/2012,1078282,-0.000438792,89.06,0.000146317
8/10/2012,1073700,-0.001849402,93.09,0.01922034
8/17/2012,1070695,-0.001217179,94.42,0.006160966
8/24/2012,1075357,0.001886892,96.47,0.009328282
8/31/2012,1065745,-0.003899363,95.68,-0.003571112
9/7/2012,1068515,0.001127319,95.65,-0.000136192
9/14/2012,1079917,0.004609755,97.61,0.008809338
9/21/2012,1077250,-0.001073875,93.73,-0.017615696
9/28/2012,1074819,-0.000981168,91.46,-0.01064742
10/5/2012,1070293,-0.00183265,90.82,-0.003049699
10/12/2012,1067619,-0.001086391,91.38,0.002669656
10/19/2012,1071589,0.001611953,91.64,0.001233927
10/26/2012,1071486,-4.17459E-05,86.69,-0.024116078
11/2/2012,1071985,0.000202207,85.88,-0.004076967
11/9/2012,1067257,-0.001919696,85.99,0.000555913
11/16/2012,1061047,-0.00253439,85.88,-0.000555913
11/23/2012,1059620,-0.000584475,87.92,0.010195644
11/30/2012,1065552,0.002424502,87.68,-0.001187138
12/7/2012,1070765,0.002119518,87.53,-0.000743613
12/14/2012,1068820,-0.000789595,86.15,-0.006901647
12/21/2012,1071822,0.001218095,88.69,0.012619373
12/28/2012,1061799,-0.004080355,90.32,0.007909274
1/4/2013,1072323,0.004283309,92.74,0.011483163
1/11/2013,1075759,0.001389367,93.36,0.002893751
1/18/2013,1073122,-0.00106589,94.54,0.005454755
1/25/2013,1075095,0.000797744,95.83,0.00588589
2/1/2013,1074891,-8.24155E-05,97.44,0.007235787
2/8/2013,1067528,-0.002985152,96.2,-0.005562203
2/15/2013,1066279,-0.000508419,96.94,0.003327943
2/22/2013,1060384,-0.00240769,94.27,-0.012129508
3/1/2013,1057861,-0.00103456,92.25,-0.009407132
3/8/2013,1052279,-0.002297703,90.98,-0.006020442
3/15/2013,1050823,-0.000601334,92.72,0.00822749
3/22/2013,1048912,-0.000790516,93,0.001309526
3/29/2013,1048801,-4.59612E-05,96.24,0.014872666
4/5/2013,1054287,0.002265759,94.93,-0.005952133
4/12/2013,1056915,0.00108121,93.4,-0.007056605
4/19/2013,1054975,-0.000797893,87.97,-0.026012284
4/26/2013,1067330,0.005056548,91.2,0.015660246
5/3/2013,1070941,0.001466829,93.72,0.011837442
5/10/2013,1073593,0.001074126,96.17,0.011207336
5/17/2013,1077821,0.00170697,94.97,-0.005453178
5/24/2013,1087570,0.003910578,95.11,0.000639744
5/31/2013,1086394,-0.000469861,93.43,-0.007739833
6/7/2013,1099306,0.00513124,94.26,0.003841087
6/14/2013,1106068,0.002663229,96.31,0.009343947
6/21/2013,1115384,0.003642583,96.71,0.0018
6/28/2013,1100719,-0.005747947,95.92,-0.003562213
7/5/2013,1093620,-0.002810019,100.51,0.020300103
7/12/2013,1093410,-8.34025E-05,104.81,0.018193448
7/19/2013,1091128,-0.000907341,106.98,0.008899873
7/26/2013,1092744,0.00064273,105.94,-0.004242625
8/2/2013,1093386,0.000255078,105.5,-0.001807509
8/9/2013,1091531,-0.000737434,105.12,-0.001567107
8/16/2013,1088711,-0.001123463,106.92,0.007373598
8/23/2013,1090878,0.000863572,105.47,-0.005930004
8/30/2013,1092643,0.000702104,108.3,0.011499511
9/6/2013,1096331,0.001463407,108.67,0.00148121
9/13/2013,1090254,-0.002414006,108.26,-0.001641644
9/20/2013,1091735,0.000589545,106.23,-0.008220841
9/27/2013,1096767,0.001997141,103.06,-0.013157043
