Date,Stock,Stock_change,Price,Price_change,Days_of_Supply,DoS_change
12/18/1992,1042070,-0.009432572,19.4,0.018372703,23.3,0
12/25/1992,1017853,-0.023239322,19.92,0.026804124,22.6,-0.030042918
1/1/1993,1016078,-0.001743867,19.64,-0.014056225,22.8,0.008849558
1/8/1993,1017925,0.001817774,19.03,-0.031059063,22.7,-0.004385965
1/15/1993,1027978,0.009875973,18.65,-0.019968471,23.4,0.030837004
1/22/1993,1024322,-0.003556496,18.68,0.001608579,23.3,-0.004273504
1/29/1993,1016486,-0.007649938,19.93,0.066916488,23.6,0.012875536
2/5/1993,1010055,-0.006326698,20.15,0.011038635,23.9,0.012711864
2/12/1993,1017125,0.006999619,20.11,-0.001985112,24.4,0.020920502
2/19/1993,1002994,-0.013893081,19.48,-0.031327698,23.6,-0.032786885
2/26/1993,999858,-0.003126639,20.45,0.049794661,24.3,0.029661017
3/5/1993,994085,-0.00577382,20.74,0.014180929,24.8,0.020576132
3/12/1993,998843,0.004786311,20.44,-0.014464802,25.3,0.02016129
3/19/1993,979169,-0.019696789,20.17,-0.013209393,24.2,-0.043478261
3/26/1993,983794,0.004723393,20.12,-0.002478929,24.7,0.020661157
4/2/1993,994975,0.011365184,20.44,0.015904573,24.5,-0.008097166
4/9/1993,1006099,0.01118018,20.38,-0.002935421,25.4,0.036734694
4/16/1993,997069,-0.00897526,20.34,-0.001962709,24.6,-0.031496063
4/23/1993,1001722,0.004666678,20.14,-0.009832842,24.3,-0.012195122
4/30/1993,1001847,0.000124785,20.36,0.010923535,24.3,0
5/7/1993,995574,-0.006261435,20.47,0.00540275,24,-0.012345679
5/14/1993,999933,0.004378379,20.05,-0.020517831,24.3,0.0125
5/21/1993,1003142,0.003209215,19.48,-0.028428928,24.6,0.012345679
5/28/1993,1019988,0.016793236,19.92,0.022587269,24.3,-0.012195122
6/4/1993,1033494,0.013241332,19.95,0.001506024,24,-0.012345679
6/11/1993,1031283,-0.002139345,19.42,-0.026566416,23.3,-0.029166667
6/18/1993,1043794,0.012131491,18.74,-0.035015448,23.8,0.021459227
6/25/1993,1056760,0.012421991,18.73,-0.000533618,24.2,0.016806723
7/2/1993,1050228,-0.006181158,18.63,-0.005339028,23.5,-0.02892562
7/9/1993,1064318,0.013416134,18,-0.033816425,23.6,0.004255319
7/16/1993,1070428,0.005740765,17.72,-0.015555556,24.1,0.021186441
7/23/1993,1066328,-0.003830244,17.62,-0.005643341,23.7,-0.01659751
7/30/1993,1069552,0.00302346,18.14,0.029511918,23.5,-0.008438819
8/6/1993,1070273,0.000674114,17.69,-0.024807056,23.6,0.004255319
8/13/1993,1066945,-0.003109487,17.85,0.009044658,23.3,-0.012711864
